type,name,area_sf,footprint,porch_sf,perimeter_lf,page,plan_pdf,plan_image,section_image,axon_image
Front Porch plan,Dave's House,504,14 x 44 ft,128,100,https://frontporch.ruralstudio.org/product_line_homes/daves-house/,https://frontporch.ruralstudio.org/wp-content/uploads/2023/06/20Kv08_Dave_Floorplan_MF.pdf,https://frontporch.ruralstudio.org/wp-content/uploads/2022/08/Dave_Floorplan.png,https://frontporch.ruralstudio.org/wp-content/uploads/2022/08/Dave_Sections.png,https://frontporch.ruralstudio.org/wp-content/uploads/2022/08/Dave_Model-Perspective.png
Front Porch plan,MacArthur's House,536,18 x 38 ft,100,120,https://frontporch.ruralstudio.org/product_line_homes/macarthurs-house/,https://frontporch.ruralstudio.org/wp-content/uploads/2023/06/20Kv09_Mac_Floorplan_MF.pdf,https://frontporch.ruralstudio.org/wp-content/uploads/2022/08/Mac_Floorplan.png,https://frontporch.ruralstudio.org/wp-content/uploads/2022/08/MacArthur_Sections.png,https://frontporch.ruralstudio.org/wp-content/uploads/2022/08/MacArthur_Model-Perspective.png
Front Porch plan,Joanne's House,529,26 x 29 ft,204,104,https://frontporch.ruralstudio.org/product_line_homes/joannes-house/,https://frontporch.ruralstudio.org/wp-content/uploads/2023/06/20Kv10_Joanne_Floorplan_MF.pdf,https://frontporch.ruralstudio.org/wp-content/uploads/2022/08/Joanne_Floorplan.png,https://frontporch.ruralstudio.org/wp-content/uploads/2022/08/Joanne_Sections.png,https://frontporch.ruralstudio.org/wp-content/uploads/2022/08/Joanne_Model-Perspective.png
Front Porch plan,Sylvia's House 2/1,856,22 x 48 ft,206,140,https://frontporch.ruralstudio.org/product_line_homes/sylvias-house/,https://frontporch.ruralstudio.org/wp-content/uploads/2023/06/Sylvia-2-1_Floorplan.pdf,https://frontporch.ruralstudio.org/wp-content/uploads/2022/08/Sylvia-2-1_Floorplan-Final.png,https://frontporch.ruralstudio.org/wp-content/uploads/2022/08/Sylvia-2-1_Section.png,
Front Porch plan,Sylvia's House 2/2,1024,24 x 52 ft,224,152,https://frontporch.ruralstudio.org/product_line_homes/sylvias-house-2-2/,https://frontporch.ruralstudio.org/wp-content/uploads/2024/03/Sylvia-2-2_Floorplan.pdf,https://frontporch.ruralstudio.org/wp-content/uploads/2024/02/Sylvia-2-2_Floorplan-1.png,https://frontporch.ruralstudio.org/wp-content/uploads/2024/02/Sylvia2-2_Sections.png,
Front Porch plan,Sylvia's House 3/2,1364,28 x 58 ft,256,172,https://frontporch.ruralstudio.org/product_line_homes/sylvias-house-3-2/,https://frontporch.ruralstudio.org/wp-content/uploads/2024/03/Sylvia-3-2_Floorplan.pdf,https://frontporch.ruralstudio.org/wp-content/uploads/2024/02/Sylvia-3-2_Floorplan-slider.png,https://frontporch.ruralstudio.org/wp-content/uploads/2024/02/Sylvia3bd_Sections.png,
visual/system precedent,Rev. Walker’s Home,,,,,https://ruralstudio.org/project/rev-walkers-home/,,https://ruralstudio.org/wp-content/uploads/2019/06/REV-WALKER-HURSLEY-HEADER-scaled.jpg,,
visual/system precedent,Rev. Walker’s Addition Diagram,,,,,https://ruralstudio.org/beginning-the-enclosure/,,https://ruralstudio.org/wp-content/uploads/2021/07/Walker_AdditionDiagram_Edited.jpg,,
visual/system precedent,Myers’ Home,,,,,https://ruralstudio.org/project/myers-home/,,https://ruralstudio.org/wp-content/uploads/2019/06/HURSLEY-HEADER-REDUCED.jpg,,
visual/system precedent,20K Bridge Home,,,,,https://ruralstudio.org/project/20k-bridge-home/,,https://ruralstudio.org/wp-content/uploads/2019/06/bridgehouse-featured.jpg,,
visual/system precedent,Harris Butterfly House,,,,,https://ruralstudio.org/project/harris-butterfly-house/,,https://ruralstudio.org/wp-content/uploads/2019/06/Harris-Butterfly-header-image.jpg,,
visual/system precedent,Lucy Carpet House,,,,,https://ruralstudio.org/project/lucy-carpet-house/,,https://ruralstudio.org/wp-content/uploads/2019/06/lucy-featured.jpg,,
visual/system precedent,Breathing Wall Mass Timber Research,,,,,https://ruralstudio.org/project/breathing-wall-mass-timber-research-project/,,,,
visual/system precedent,20K Truss Home,,,,,https://ruralstudio.org/project/20k-32k-truss-home/,,,,
